Title: EntireCorpus-Lemmas
Number of all lemmas: 77614
Nummber of different lemmas: 14418

Lemma	POS	Frequency	Tokens
kaum	IN, RB, RP, WRB	40	kaum
Willen	NN, JJ	40	Willen
Ihres	NN, NNP	39	Ihres
Kurz	NN	39	Kurz
sag	NN, JJ, VB	39	sag, sagen, sage
Sei	NN	39	Sei
Einfall	NN, NNS, JJ	39	Einfall, Einfälle
Sagen	NN, VB, VBN	39	Sagen, Sagt, Gesagt
Eben	NN, NNP	39	Eben
Umstand	NNS, NN	39	Umstände, Umstand
frei	JJ	39	frei, freie, freiem, freien, freier
wüsste	NN	39	wüßte
Gräfin	JJ, NN, NNP	39	Gräfin
klug	JJ, RB	39	klug, kluges
danken	VB, PRP$, RP	39	danken, gedankt, dankt, danket
zwanzig	CD	38	zwanzig
fein	JJ, RB, VB	38	fein, feine, feines, feiner, feinen
Manne	NN	38	Manne
liebt	NN, NNP	38	liebt
welchem	WP	38	welchem
befehlen	VBN, VB, RP, PRP$	38	befohlen, befehlen
zärtlich	JJ	38	zärtlichen, zärtlich, zärtliches, zärtliche, zärtlicher
jemals	IN, RB, RP	38	jemals
erhalten	VBN, VB	38	erhalten, erhält, erhielten, erhielt
Kleinigkeit	NN, JJ	38	Kleinigkeit
retten	VB, VBN, RP	38	rettete, retten, gerettet
Gesicht	NN, NNP, JJ	37	Gesicht
spielen	VB, VBN	37	spielen
Morgen	NN	37	Morgen
Schlag	NNP, NN	37	Schlag
abern	VBN, VB, JJ, RB, RP, CC	37	aber
Ihro	NN, NNP, JJ	36	Ihro
auchen	VBN, VB, RB	36	auch
sogleich	RB, RP, IN	36	sogleich
Jahren	NN	36	Jahren
gnädiger	NNP	36	gnädiger
Geduld	NN	36	Geduld
ehe	CC, RB	36	ehe
annehmen	VB, VBN, RP	35	annehmen, annimmt, angenommen
mache	NN	35	mache
Hülfe	NN	35	Hülfe
Grafen	NN	35	Grafen
Versteh	NN	35	Versteh
fahren	VB, VBN, PRP$, RP	35	gefahren, fahren, fährt, fuhr
Freilich	JJ, RB, FW	35	Freilich
Tränen	NN, JJ, NNP	35	Tränen
Ursache	NN, JJ	35	Ursache
fassen	VBN, VB, RP	35	gefaßt, fassen, faßt
Freude	NN, NNP	35	Freude
gnädige	JJ, NN	35	gnädige
Sehen	NN, VBN, VB, NNP	35	Sehen, Seht, Sieht
erlauben	VB, VBN, RP	35	erlauben, erlaubt, erlaube, erlaubet, erlaubte
zwingen	VBN, VB, PRP$	35	gezwungen, zwingen, zwingt, zwinget, zwang, zwingst
voll	JJ	35	voller, voll, vollem, vollen, volle
Sprache	NN, JJ	34	Sprache
Eure	NN, JJ, RB	34	Eure
Engel	NN	34	Engel
nötig	JJ, VB	34	nötige, nötig, nötiger
Wachtmeister	NN, RB, NNP	34	Wachtmeister
nochen	VB, VBN, RB, RP	34	noch
längst	RB, RP, IN, WRB	34	längst
liebern	VB, NN	34	lieber
