Title: EntireCorpus-Tokens
Number of all tokens: 82976
Nummber of different tokens: 15342

Token	Frequency
Besinnen	8
Lebt	8
Anverwandte	8
langen	8
Schimpf	8
aufgehoben	8
Emilien	8
betteln	8
Denkungsart	8
Barschaft	8
Neugierde	8
Winkel	8
eigen	8
erwägen	8
bien	8
Geschöpf	8
braver	8
geliebten	8
Republik	8
Pflichten	8
Geliebte	8
Glaube	8
Stärke	8
Wesen	8
unterlassen	8
zählen	8
erkundigen	8
Boden	8
sterbenden	8
Unmöglich	8
redlich	8
besitze	8
Träume	8
Wollust	8
wurden	8
verzweifelte	8
Verrichtungen	8
Vergeben	8
Mönch	8
Schatz	8
Träne	8
nehmt	8
Fingern	8
erschrecken	8
Blitz	8
Fassen	8
zornig	8
Erklärung	8
wette	8
getroffen	8
gutem	8
folgt	8
hilft	8
Kennen	8
Lob	8
Verzeichnis	8
Stern	8
Spötterei	8
Hitze	8
riß	8
schreckliche	8
Ehe	8
warf	8
satt	8
Stirne	8
Curd	8
deutsch	8
Ausstattung	8
brechen	8
süße	8
vortreffliche	8
Leidenschaft	8
Kömmt	8
befinden	8
Akademie	8
Besten	8
diejenigen	8
zürnen	8
erschrecke	8
erinnert	8
Alsdann	8
geboren	8
unterstehen	8
Vorschlag	8
entfernt	8
hart	8
höchst	8
verdanken	8
Galle	8
Verwahrung	8
Unruhe	8
nähere	8
eingenommen	8
reisen	8
redt	8
Frauenzimmers	8
wohnen	8
Wein	8
Gibt	8
Woche	8
suchte	8
närrische	8
Battista	8
neugierig	8
Tropfen	8
brauch	8
Solmes	8
Unsinn	8
vermehren	8
sodann	8
menschliche	8
Anbeter	8
ungeachtet	8
stirbt	8
Polizei	8
Immer	8
äußersten	8
Schmeicheleien	8
beider	8
Geschlechte	8
Eindruck	8
Gegenteil	8
wild	8
Spott	8
Bruders	8
abgelaufen	8
Stahl	8
angekommen	8
ohngefähr	8
unten	8
zärtlich	8
Ho	8
tugendhaft	8
Oronte	8
reißt	8
schadet	8
Fremden	8
erstemal	8
schlimm	8
drücken	8
Xantippe	8
verachten	8
verachtet	8
bekam	8
Messe	8
besondre	8
nämlichen	8
hervor	8
Lehre	8
Barmherzigkeit	8
gemerkt	8
Leider	8
anwenden	8
Bedingung	8
Mehr	8
Antworte	8
gefragt	8
Abwesenheit	8
Schatten	8
Land	8
dummer	8
Sollten	8
versetzt	8
stets	8
Wernern	8
Glückseligkeit	8
Gabe	8
Wolf	8
neidisch	8
Meilen	8
gewagt	8
Reize	8
Paul	7
Deutschland	7
gefährlichen	7
A	7
Trost	7
behalte	7
Antrag	7
Nichtswürdiger	7
gestehn	7
Woran	7
Reisen	7
Verstandes	7
wenden	7
Schicksale	7
sterbe	7
liebes	7
Vorstellungen	7
versucht	7
Marchese	7
Unterschied	7
Wollten	7
setze	7
aufgeopfert	7
betrachtet	7
Halte	7
Gesichter	7
Busen	7
Maler	7
neuer	7
klüger	7
Dummheit	7
zuvor	7
pfui	7
begleitet	7
gemein	7
Jüdin	7
wilden	7
Aufführung	7
Dokument	7
stürzen	7
Rate	7
Kummer	7
Prinzessin	7
heilige	7
Sabionetta	7
Teils	7
Tritt	7
Opfer	7
bekennen	7
lebendig	7
solle	7
vorstellen	7
verhindert	7
gleicher	7
Gespräch	7
hattest	7
lese	7
martern	7
weh	7
hastig	7
beisammen	7
verfolgen	7
brauchte	7
liebenswürdige	7
ers	7
anstehen	7
vorgeht	7
Woher	7
abgeschmackt	7
Empfindung	7
Strenge	7
Handlung	7
verschweigen	7
Orten	7
gedient	7
beschwerlich	7
dacht	7
erholen	7
Phantasie	7
behaupten	7
nichtswürdige	7
halt	7
Könige	7
aufhalten	7
untern	7
Armes	7
verlegen	7
beschwöre	7
Stich	7
seufzen	7
Geister	7
genossen	7
jagen	7
bedeuten	7
Traum	7
Steht	7
Daumen	7
drohen	7
Zeugnis	7
dirs	7
warte	7
Theophans	7
hitzig	7
finster	7
Gemacht	7
schüchtern	7
Bluts	7
Friede	7
erzogen	7
vernehmen	7
verdiene	7
vermutet	7
bestimmt	7
Tugenden	7
Elende	7
stünde	7
Indes	7
erklärt	7
Thüringen	7
Geschenke	7
zeitig	7
sichersten	7
folge	7
Gnädiges	7
Sohnes	7
Schranken	7
bezaubert	7
Haupt	7
gesteh	7
neu	7
Seht	7
gelehrten	7
