Title: Nathan der Weise
Number of all lemmas: 10391
Nummber of different lemmas: 3174

Lemma	POS	Frequency	Tokens
Mönch	NN	4	Mönch
wofür	PWAV	4	wofür, Wofür
Märchen	NN	4	Märchen
Mansor	NN	4	Mansor
find	VVFIN	4	find
Sorge	NN	4	Sorge
Betrieger	NN	4	Betrieger
sitzen	VVFIN, VVINF, VVPP	4	sitzen, gesessen, saß
hinter	APPR	4	hinter
allgemein	ADJA, ADJD	4	allgemeine, allgemein, allgemeinen
fürcht	VVFIN	4	fürcht
Gesicht	NN	4	Gesichter, Gesicht
Verlust	NN	4	Verlust, Verlusts
gesehn	VVFIN, ADJD	4	gesehn
fallen|gefallen	VVPP	4	gefallen
taugen	VVFIN	4	taugt, Taugt
geschehen	VVFIN, VVINF	4	geschieht, geschehen, Geschieht
Saladins	NN	4	Saladins
irgend	ADV	4	irgend
begreifen	VVFIN, VVPP, VVINF	4	Begreifst, begreife, begriffen, begreifen
heraus	ADV	4	heraus, Heraus
echt	ADJA, ADJD	4	echten, echt, echte
Tier	NN	4	Tier, Tieres
Religion	NN	4	Religionen, Religion
zeigen	VVINF, VVFIN	4	zeigen, zeigt
gefallen	VVINF, VVFIN	4	gefallen, Gefiel, Gefällt, gefiel
mags	NN	4	mags
Gesetz	NN	4	Gesetz, Gesetzes
sparen	VVINF, VVFIN	4	sparen, Spart
überlegen	VVINF, VVFIN, VVPP	4	überlegen, überlegt
Rechnung	NN	4	Rechnung
Stadt	NN	4	Stadt
wild	ADJA	4	wilden, Wilder
Orden	NN	4	Orden, Ordens
verlernen	VVINF, VVFIN, VVPP	4	verlernen, verlernt
Unsinn	NN	4	Unsinn
Ohn	VVFIN, ADJA	4	Ohn
verkennen	VVPP, VVFIN	4	verkannt, Verkennt, verkennt
herrlich	ADJD	4	herrlicher, Herrlich, herrlich
Wüste	NN	4	Wüsten, Wüste
übrig	ADJD, ADJA	4	übrig, übrige
hm	NE	4	Hm, hm
Vorsicht	NN	4	Vorsicht
loben	VVINF	4	loben
genau	ADJD	4	genau, genauer
Klosterbruder	NN	4	Klosterbruder
Ehr	TRUNC	3	Ehr
hats	NN, VVFIN	3	hats
betteln	VVINF, VVPP	3	betteln, gebettelt
pflegen	VVFIN, VVIMP, VVPP	3	Pflegen, Pfleg, gepflegt
