Title: Der Schatz
Number of all lemmas: 11596
Nummber of different lemmas: 2131

Lemma	POS	Frequency	Tokens
Spiele	NN	3	Spiele
läng	JJ	3	länger
Sagen	NN, VB	3	Sagen, Sagt
mitgegeben	NN	3	mitgegeben
lieben	JJ, VB	3	lieben, liebe
Asinus	NN	3	Asinus
Von	IN	3	Von
ihnen	PRP	3	ihnen
Dies	DT	3	Dieses, Diese
Dieb	NNS, NN	3	Diebe, Dieb
ihre	PRP$	3	ihre
umarmen	VB	3	umarmen
Wirtschaft	NN	3	Wirtschaft
fasen	VB	3	fast
zeigen	VB, RB	3	zeigen, zeigte
Stiletti	NN	3	Stiletti
schuldig	JJ	3	schuldig
Kurz	NN	3	Kurz
wert	IN, RP, JJ	3	wert
sau	JJ	3	sauer
gekannt	NN	3	gekannt
dazuen	VB	3	dazu
Dardanellen	NN	3	Dardanellen
Nachschuss	NN	3	Nachschuß
jemanden	NN	3	jemanden
darf	VB	3	darf
nötig	JJ	3	nötig, nötige
fein	JJ	3	fein
welchen	WP	3	welchen
lang	JJ	3	langen
Sollte	NN	3	Sollte
Meine	PRP$	3	Meine
Nichts	NN	3	Nichts
tu	JJ, NN	3	tu
dreissig	CD	3	dreißig
Habe	NN	3	Habe
Kommen	NN, NNP	3	Kommen
Gesichte	NN	3	Gesichte
bloss	RB	3	bloß
Leandern	NN, RB	3	Leandern
närrisch	JJ	3	närrisch, närrische
nimmermehr	NN	3	nimmermehr
Schatz	NN	3	Schatz
Haar	NN, NNS	3	Haar, Haare
Füssen	NNP	3	Füßen
vollkommen	JJ	3	vollkommenen, vollkommene
Seine	PRP$	3	Seine
versuchen	VB	3	versuchen
hin	IN	3	hin
seh	PRP$	3	seh
klug	JJ	3	klug
dein	PRP$	3	dein
Dank	RP, IN, TO	3	Dank
freudig	JJ	3	freudig
scheinen	VB	3	scheinen, scheint
fällen	VB, RP	3	fällt, gefällt
Bissch	VB, JJ	3	Bißchen
danke	RP, IN	3	danke
schaffen	VB	3	schaffen
