WORD_LOWER	EMO_MEAN	AROUSAL_MEAN
britisch	0,6	2,052631579
bronze	0,7	2,666666667
brot	0,91	1,95
brücke	0,82	2,09
bruder	1,676470588	2,222222222
brunnen	0,55	1,86
brust	1,264705882	2,833333333
brutal	-2	4,526315789
buch	1,911764706	1,888888889
buche	1,15	1,368421053
buddha	0,82	2,27
bühne	1,441176471	2,833333333
bulle	-0,6	2,789473684
bullig	-0,9	3,789473684
bumerang	0,86	3,36
bündnis	0,294117647	2,444444444
bunker	-1,8	3,45
bunt	1,6	2,210526316
burg	1,23	3
büro	-0,617647059	2,178571429
bursche	-0,529411765	2,157894737
bürste	0,23	2,05
busen	1,85	3,25
butter	0,6	1,842105263
cello	0,95	2,09
chance	2,1	3,176470588
chaos	-0,05	4
charakter	1,264705882	3,421052632
charme	2,3	2,736842105
chef	0,2	3,055555556
christus	-0,117647059	2,611111111
dachs	0,45	2,5
dackel	0,27	2,77
dame	1	2,277777778
dampfer	0,64	2,55
dank	1,823529412	2,277777778
danken	1,911764706	1,842105263
darlehen	-0,7	2,80952381
darm	-1,14	2,91
darstellen	0,882352941	2,526315789
dasein	1,5	2,5
datum	0,3	2,1875
dauer	-0,85	2,619047619
dauern	-0,235294118	2,047619048
daumen	0,45	1,75
debatte	-0,911764706	3,142857143
decke	1,36	1,59
deckel	-0,09	1,86
defensiv	-0,6	2,473684211
defizit	-2	3,333333333
dekadent	-2	2,263157895
delikt	-1,6	3,411764706
delle	-0,9	2,333333333
demokrat	0,235294118	2,555555556
demokratie	0,617647059	3,263157895
demut	-0,9	3,047619048
denker	1,8	2,352941176
derb	-1,1	2,631578947
dessert	1,6	2,176470588
detail	0,2	2,3125
deutung	0,5	2,411764706
diagnose	-0,7	3,619047619
dialekt	0,4	2,6875
diamant	1,7	2,833333333
dichter	1,588235294	2,277777778
dieb	-1,8	3,5
diele	0,4	1,875
dienen	-1,088235294	2,476190476
diener	-0,5	2,277777778
dienst	-0,764705882	2,142857143
diffus	-1,2	2,473684211
diktatur	-2,5	4,294117647
dilemma	-1,8	3,705882353
ding	-0,029411765	1,555555556
diplom	1,8	3,470588235
diplomat	0,9	2,578947368
dirne	-1	2,523809524
diskussion	0,029411765	3,368421053
distel	-0,55	2,157894737
dogge	-0,95	2,571428571
doktor	0,8	3,428571429
dokument	0,6	2,1
dolch	-1,3	4,052631579
dominanz	-0,6	3,526315789
donner	-0,2	3,947368421
dose	-0,18	2
dosis	-0,7	3,238095238
dozent	0,1	2,578947368
drache	0,4	3,444444444
drama	0,1	3,888888889
drängen	-1,323529412	3,933333333
dreck	-1,5	3,526315789
drillen	-1,7	3,166666667
dringen	-0,823529412	2,789473684
droge	-1,25	3,947368421
drohen	-2,176470588	3,928571429
drohung	-2,1	4,176470588
druck	-1,588235294	3,611111111
drücken	-0,176470588	2,714285714
duell	-0,5	3,666666667
duft	1,7	2,388888889
duften	1,5	2,444444444
dummheit	-1,9	3
durst	-1,1	3,45
dusche	1,7	2,1875
echse	0,3	2,65
effekt	0,4	3,315789474
egoismus	-1,1	3,722222222
ehe	0,647058824	3,19047619
ehelos	-0,2	2,473684211
ehre	0,911764706	3,095238095
ehrgeiz	1,5	3,555555556
ehrlich	2,2	2,111111111
ehrung	1,15	2,9
eiche	1,45	1,722222222
eid	0,1	3,526315789
eidechse	0,32	2,82
eifel	0,6	2,380952381
eifer	0,8	3,052631579
eifrig	0,8	2,947368421
eigelb	0,8	2,333333333
eigenart	0,3	2,5
eigentum	1,2	2,444444444
eimer	0,1	1,647058824
eindruck	0,4	2,176470588
einengen	-2	3,5
einfall	1,5	3,058823529
