Title: Die Juden
Number of all lemmas: 9755
Nummber of different lemmas: 1526

Lemma	POS	Frequency	Tokens
immer	ADV	3	immer
erweisen	VVPP, VVINF	3	erwiesen, erweisen
schuldig	ADJD	3	schuldig
ähnlich	ADJA, ADJD	3	ähnlicher, ähnlich
Meile	NN	3	Meilen
schlecht	ADJD, ADJA	3	schlecht, schlechteste
Schnupftabaksdose	NN	3	Schnupftabaksdose
Furcht	NN	3	Furcht
ansehen	VVPP, VVIZU	3	angesehen, anzusehen
betrachten	VVFIN	3	betrachten, Betrachten
verlegen	ADJD, VVINF	3	verlegen
geschwind	ADJD	3	Geschwind, geschwind
verdammen	VVPP	3	Verdammt, verdammt
Mund	NN	3	Munde
hieher	NN	3	hieher
Mantelsäcke	NN	3	Mantelsäcke
einander	PRF	3	einander
schimpfen	VVFIN, VVINF	3	schimpft, Schimpft, schimpfen
schätzen	VVFIN, VVINF	3	Schätzen, schätzen, schätze
Exempel	NN	3	Exempel
Stunde|Stunden	NN	3	Stunden
empfindlich	ADJD	3	empfindlich
wohin	PWAV	3	Wohin, wohin
Reise	NN	3	Reise
leid	ADJD	3	leid
meist	ADV, PIAT	3	meist, meisten, meiste
durch	APPR	3	durch
alsdann	VVFIN, ADJD	3	alsdann
aufs	APPRART	3	aufs, Aufs
verlieren	VVPP, VVFIN	3	verloren, verliert
mirs	ADJD	3	mirs
unschätzbar	ADJD, ADJA	3	unschätzbar, unschätzbare
nötigen	VVFIN, VVINF, VVPP	3	nötigte, nötigen, genötigt
erlauben	VVFIN, VVPP	3	erlauben, erlaubt
Mord	NN	3	Mords
bedeuten	VVFIN, VVINF	3	bedeutet, bedeuten
bedenken	VVINF, VVFIN	3	bedenken, bedenke, Bedenken
Hunger	NN	3	Hunger
abpacken	VVINF	3	abpacken
Durst	NN	3	Durst
Ja	NN	3	Ja
Kind	NN	3	Kind, Kindes
bewegen	VVFIN, VVINF	3	bewog, bewegen
erkenntlich	ADJD	3	erkenntlich
urteilen	VVFIN, VVINF	3	urteilen
fällen	VVPP	3	gefällt
stellen	VVINF, VVFIN	3	stellen, stellt, stelle
redt	ADJD	3	redt
weinen	VVFIN	3	weinen, weine, weint
hinter	APPR	3	hinter
allgemein	ADJA, ADJD	3	allgemeine, allgemeiner, allgemein
verfahren	VVPP, VVFIN	3	verfahren, verfährt
Frauenzimmer	NN	3	Frauenzimmer
Ort	NN	3	Orte, Ort
Seele	NN	3	Seele, Seelen
ah	ITJ	3	Ah
sachte	ADV	3	Sachte, sachte
erklären	VVPP, VVINF, VVFIN	3	erklärt, erklären, Erklären
zornig	ADJD	3	zornig
schön	ADJA	3	schöne
Gut	NN	3	Gut, Gütern
paar	PIAT	3	Paar
hoch	ADJA, ADJD	3	höchste, höher
Mannsperson	NN	3	Mannspersonen, Mannsperson
zugehen	VVPP, VVINF, VVFIN	3	zugegangen, zugehen, zuging
heraus	PTKVZ	3	heraus
gedenken	VVFIN, VVINF	3	gedenke, gedenken
dahin	PAV	3	dahin
wichtig	ADJD, ADJA	3	wichtig, wichtigen, wichtigere
umbringen	VVINF	3	umbringen
überlegen	VVFIN	3	Überlegen, überlegen
drum	PAV	3	Drum
wild	ADJA, ADJD	3	wilde, wild
Verwirrung	NN	3	Verwirrung, Verwirrungen
oft	ADV	3	oft
Dose|Dosis	NN	3	Dosen
höflich	ADJD	3	höflicher, Höflich, höflich
wünschen	VVINF, VVIMP	3	wünschen, wünsch
zweifeln	VVINF, VVFIN	3	zweifeln, zweifle
vortrefflich	ADJA, ADJD	3	Vortrefflicher, vortrefflich
Sprache	NN	2	Sprache
jemals	ADV	2	jemals
träumen	VVFIN	2	Träumt, Träumen
recht|rechts	ADJA	2	rechten, rechte
Straßenräuber	NN	2	Straßenräuber, Straßenräubern
neu	ADJA	2	neuen, neue
satteln	VVINF, VVPP	2	satteln, gesattelt
bezahlen	VVINF	2	bezahlen
Mangel	NN	2	Mangel
Gleiche	NN	2	Gleiches, Gleichem
Acht	NN	2	Acht
Mantelsack	NN	2	Mantelsack
zuwider	ADV, PTKVZ	2	zuwider
zielen	VVINF, VVFIN	2	zielen
niemand	PIS	2	niemanden, niemand
Neugierde	NN	2	Neugierde
Hülfe	NN	2	Hülfe
antreffen	VVFIN, VVPP	2	antrifft, angetroffen
eigen	ADJA	2	eigner, eignen
verbindlich	ADJD	2	verbindlich
Antrag	NN	2	Antrag
Arm|Arme	NN	2	Armen, Arme
überflüssig	ADJA, ADJD	2	überflüssige, überflüssig
brauchen	VVIMP, VVFIN	2	brauch, brauche
weniger	ADV	2	weniger
Urteil	NN	2	Urteile
raten	VVFIN, VVINF	2	rate, raten
spazieren	VVINF	2	spazieren
wohlbestallt	ADJA	2	wohlbestallter
bedanken	VVINF	2	bedanken
sollens	VVFIN	2	sollens
verschaffen	VVINF, VVFIN	2	verschaffen, verschaffte
weiter	ADV	2	weiter
bekannt	ADJD, ADJA	2	bekannt, bekannter
brav	ADJD, ADJA	2	brav, braver
Neugierigkeit	NN	2	Neugierigkeit
allzugütig	ADJD	2	allzugütig
Schuld	NN	2	Schuld
entfliehen	VVFIN, VVINF	2	entfliehen
Aufsicht	NN	2	Aufsicht
Sies	NN	2	Sies
Genugtuung	NN	2	Genugtuung
erzählen	VVINF, VVFIN	2	erzählen, Erzählen
wenden	VVFIN	2	wendet
ordentlich	ADJA, ADJD	2	ordentliche, ordentlicher
dankbar	ADJD	2	dankbar
schließen	VVINF, VVFIN	2	schließen
ohngefähr	ADJD	2	ohngefähr
gefällig	ADJA, ADJD	2	gefällige, gefällig
Eigenschaft	NN	2	Eigenschaften
gewinnen	VVPP	2	gewonnen
Anerbieten	NN	2	Anerbieten
Schulze	NE	2	Schulze
Art	NN	2	Art
zärtlich	ADJA	2	zärtliche, zärtlichen
gönnen	VVINF, VVFIN	2	gönnen, Gönnen
kosten	VVFIN	2	kostet
hundertmal	ADV	2	hundertmal
Argwohn	NN	2	Argwohn, Argwohns
niederschlagen	VVPP	2	niedergeschlagen
dritt	ADJA	2	dritten
schätzbar	ADJD	2	schätzbar
Erstaunen	NN	2	Erstaunen
gehören	VVFIN	2	gehört
Stehlen	NN	2	Stehlen
zeihen|ziehen	VVFIN	2	zieht
Tat	NN	2	Tat
heißen	VVINF	2	heißen
Gute	NN	2	Gute, Gutes
Franzose	NN	2	Franzose, Franzosen
glücklich	ADJD	2	glücklich
lächerlich	ADJD	2	lächerlich
schrecken	VVFIN, VVINF	2	schrecke, schrecken
anbieten	VVFIN, VVINF	2	anbot, anbieten
meinetwegen	ADV	2	meinetwegen
Larve	NN	2	Larve
Galgen	NN	2	Galgen
erlernen	VVINF, VVFIN	2	erlernen, erlernt
Lüge|Lügen	NN	2	Lügen
zuschreiben	VVIZU, VVPP	2	zuzuschreiben, zugeschrieben
Erkenntlichkeit	NN	2	Erkenntlichkeit
ihrige	PPOSAT	2	Ihrige
gefallen	VVINF	2	gefallen
schlagen	VVPP, VVFIN	2	geschlagen, schlage
ewig	ADJD	2	ewig
fertig	ADJD	2	fertig
helfen	VVPP, VVINF	2	geholfen, helfen
machts	ADJD, VVFIN	2	machts
Geduld	NN	2	Geduld
großmütig	ADJD, ADJA	2	großmütig, großmütige
Erretter	NN	2	Erretter
Messe	NN	2	Messe
Glücke	NN	2	Glücke
darin	PAV	2	darin
verdammt	ADJA	2	verdammte, verdammten
zugleich	ADV	2	zugleich
dabei	PAV	2	dabei
Verfahren	NN	2	Verfahren, Verfahrens
hungern	VVFIN	2	hungert
Fremde	NN	2	Fremden
unbelohnt	ADJD	2	unbelohnt
Vaterland	NN	2	Vaterlande
essen	VVINF	2	essen
ehe	KOUS	2	ehe
erinnern	VVFIN	2	erinnerte, Erinnern
am	PTKA	2	am
sobald	KOUS	2	Sobald, sobald
halber	APPO	2	halber
zanken	VVINF	2	zanken
Spiel	NN	2	Spiel
Bekannte	NN	2	Bekannte, Bekannten
genötiget	VVFIN	2	genötiget
notwendig	ADJD	2	notwendig
beschuldigen	VVPP	2	beschuldigt
erfahren	VVINF, VVFIN	2	erfahren, erfährt
Bitte|Bitten	NN	2	Bitten
Kommen	NN	2	Kommen
hinein	PTKVZ	2	hinein
Menschenliebe	NN	2	Menschenliebe
Unvorsichtigkeit	NN	2	Unvorsichtigkeit
laut	ADJD	2	lauter
trinken	VVINF	2	trinken
grausam	ADJD, ADJA	2	grausam, grausamer
verzweifelt	ADJA, ADJD	2	verzweifelten, verzweifelt
besitzen	VVFIN	2	besitzt, besäßen
rächen	VVINF	2	rächen
darum	PAV	2	Darum, darum
Gewissen	NN	2	Gewissen
Strick	NN	2	Stricke
Adel	NN	2	Adel
heran	PTKVZ	2	heran
rasend	ADJD	2	rasend
deutlich	ADJD	2	deutlich, deutlicher
behüten	VVFIN	2	behüte
Hamburg	NE	2	Hamburg
Wohlstand	NN	2	Wohlstands
Rat	NN	2	Rat
begeben	VVPP	2	begeben
ernsthaft	ADJD	2	ernsthaft
verstellen	VVPP	2	verstellt
hart	ADJD	2	hart
anwenden	VVFIN	2	anwendete, anwenden
wagen	VVPP, VVFIN	2	gewagt, wagen
nennen	VVFIN	2	nannte, nennen
Verrichtung	NN	2	Verrichtungen
vermummen	VVPP	2	vermummt
Freiheit	NN	2	Freiheit
genießen	VVINF, VVPP	2	genießen, genossen
Unwahrheit	NN	2	Unwahrheit
lachen	VVFIN	2	Lacht, lacht
rechtschaffne	ADJA	2	rechtschaffne
treiben	VVFIN	2	trieb, treibt
arg	ADJD	2	ärger, arg
arm	ADJA, ADJD	2	armen, arm
Dank	NN	2	Dank
dadurch	PAV	2	dadurch
Schaden	NN	2	Schaden
zwingen	VVPP, VVINF	2	gezwungen, zwingen
erraten	VVFIN, VVPP	2	errate, erraten
Natur	NN	2	Natur
Nation	NN	2	Nationen, Nation
ansehn	VVFIN	2	ansehn
zwar	ADV	2	zwar
Vater	NN	2	Vater, Väter
vermuten	VVINF	2	vermuten
beschwören	VVINF, VVFIN	2	beschwören, beschwöre
Engeland	NN	2	Engeland
entwenden	VVPP	2	entwendet, entwandt
weis	PTKVZ	2	weis
wanns	NN, NE	2	wanns
Gesicht	NN	2	Gesicht
Schicksal	NN	2	Schicksale, Schicksal
fast	ADV	2	fast
